,OS: Windows 10 | Browser: Chrome 146 | Resolution: 1842x990 | Time: 29 Mar 2026 / 22:20:9  GMT-4

"#","Step","Data","Exp Result","XPath","cssSelector"
"1","Open website","https://veripagos.com/login","","",""
"2","Enter ""comercialanthonella"" into ""username""","comercialanthonella","","//input[@name='username']","input[value='dsds']"
"3","Click on ""Username: ""","","","//div[@class='d-flex flex-center flex-column flex-column-fluid p-10 pb-lg-20']",".d-flex.flex-center.flex-column.flex-column-fluid.p-10.pb-lg-20"
"4","Double click on ""password""","******","","//input[@id='password']","#password"
"5","Enter ""******"" into ""password""","******","","//input[@id='password']","#password"
"6","Click on ""Iniciar Sesión""","","","//span[@class='indicator-label']",".indicator-label"
